Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
0.734803215,0.542417075
0.744694004,0.535115891
0.725736658,0.5487381
0.734494127,0.542116473
0.719039769,0.553523048
0.707912631,0.562088815
0.726457861,0.547363741
0.72383062,0.549343286
0.734391098,0.541328528
0.74613641,0.532670916
0.751287863,0.528993266
0.740881929,0.536320243
0.743148568,0.534679436
0.748093962,0.531121331
0.739027406,0.537558278
0.750051515,0.529539495
0.751493921,0.52852115
0.750463631,0.529245747
0.746342469,0.532152093
0.750360602,0.529287111
0.757675665,0.524127234
0.755924171,0.525338842
0.77014218,0.51545786
0.773336081,0.513320176
0.778281475,0.510037553
0.781269318,0.508079505
0.783845044,0.506404444
0.776014836,0.511463164
0.773954255,0.512821271
0.750463631,0.528386134
0.751184834,0.527878349
0.74623944,0.531353615
0.741294045,0.534874942
0.740675871,0.535320981
0.742427365,0.534055095
0.740057696,0.535759683
0.732845662,0.540980786
0.728003297,0.544555381
0.719245827,0.551106076
0.711724706,0.556868967
0.710797445,0.557594476
0.710488358,0.557836944
0.70914898,0.558888551
0.696579435,0.568794755
0.685761385,0.577628278
0.707809602,0.559056696
0.716876159,0.551895562
0.711724706,0.555861469
0.723057902,0.547010171
0.715227694,0.552933906
0.707088399,0.559226297
0.705130847,0.560774498
0.698021842,0.566428127
0.715021636,0.552633199
0.695446116,0.567762926
0.687203791,0.574491968
0.681537193,0.579229158
0.683597775,0.577477899
0.684937152,0.576346442
0.679270554,0.581114651
0.67535545,0.584464015
0.673603956,0.585979788
0.665258603,0.593239556
0.67648877,0.583225136
0.692458273,0.569457256
0.679991758,0.579709351
0.679270554,0.580324194
0.691840099,0.5695856
0.699567278,0.563223884
0.706882341,0.557334503
0.694312796,0.567244839
0.688852256,0.571706031
0.698330929,0.563839301
0.700803627,0.561842821
0.694209767,0.567129199
0.689161343,0.571253469
0.693797651,0.567410382
0.701730888,0.560922322
0.711621677,0.553016208
0.712961055,0.551975349
0.708530806,0.555405254
0.709561096,0.554597626
0.701627859,0.560798297
0.704615702,0.558410169
0.7134762,0.551388196
0.722954873,0.544062894
0.744178858,0.52809069
0.739954667,0.531088297
0.731609314,0.537078015
0.746754585,0.525959797
0.7439728,0.527919084
0.744075829,0.527845975
0.755821142,0.519513873
0.74943334,0.52390453
0.752318154,0.521887851
0.74180919,0.529177985
0.740263754,0.530280439
0.7439728,0.527623502
0.740881929,0.529815539
0.738203173,0.531731157
0.75376056,0.520525099
0.767360396,0.511133449
0.762930146,0.514084407
0.749124253,0.523387217
0.745827323,0.525690668
0.735009273,0.533315688
0.728827529,0.537801102
0.741087987,0.528754123
0.704924789,0.554555971
0.687203791,0.56849687
0.695240058,0.56184878
0.702143004,0.556270258
0.685452298,0.56949341
0.677725118,0.575913372
0.645580054,0.603229421
0.631980218,0.615937095
0.632289306,0.615635854
0.636822584,0.611221975
0.653719349,0.627439481
0.649083041,0.622989555
0.655058727,0.628725015
0.6372347,0.611617524
0.635895322,0.61033199
0.643416443,0.603113222
0.651040593,0.595966644
0.659282918,0.588421569
0.663713167,0.584467493
